pair,ts,spread,abs_spread,regime
BTCUSDT-ETHUSDT,2026-06-19 02:00:00+00:00,-5.119999999999998e-06,5.119999999999998e-06,convergence
BTCUSDT-ETHUSDT,2026-06-19 01:00:00+00:00,-5.119999999999998e-06,5.119999999999998e-06,convergence
BTCUSDT-ETHUSDT,2026-06-19 04:00:00+00:00,-5.119999999999998e-06,5.119999999999998e-06,convergence
BTCUSDT-ETHUSDT,2026-06-19 03:00:00+00:00,-5.119999999999998e-06,5.119999999999998e-06,convergence
BTCUSDT-ETHUSDT,2026-06-19 05:00:00+00:00,-5.119999999999998e-06,5.119999999999998e-06,convergence
BTCUSDT-ETHUSDT,2026-06-25 19:00:00+00:00,9.715e-05,9.715e-05,divergence
BTCUSDT-ETHUSDT,2026-06-25 18:00:00+00:00,9.715e-05,9.715e-05,divergence
BTCUSDT-ETHUSDT,2026-06-25 21:00:00+00:00,9.715e-05,9.715e-05,divergence
BTCUSDT-ETHUSDT,2026-06-25 20:00:00+00:00,9.715e-05,9.715e-05,divergence
BTCUSDT-ETHUSDT,2026-06-25 17:00:00+00:00,9.715e-05,9.715e-05,divergence
BTCUSDT-SOLUSDT,2026-06-21 08:00:00+00:00,7.57e-06,7.57e-06,convergence
BTCUSDT-SOLUSDT,2026-06-21 12:00:00+00:00,7.57e-06,7.57e-06,convergence
BTCUSDT-SOLUSDT,2026-06-21 10:00:00+00:00,7.57e-06,7.57e-06,convergence
BTCUSDT-SOLUSDT,2026-06-21 13:00:00+00:00,7.57e-06,7.57e-06,convergence
BTCUSDT-SOLUSDT,2026-06-21 11:00:00+00:00,7.57e-06,7.57e-06,convergence
BTCUSDT-SOLUSDT,2026-06-23 22:00:00+00:00,0.00018966,0.00018966,divergence
BTCUSDT-SOLUSDT,2026-06-23 23:00:00+00:00,0.00018966,0.00018966,divergence
BTCUSDT-SOLUSDT,2026-06-24 00:00:00+00:00,0.00018966,0.00018966,divergence
BTCUSDT-SOLUSDT,2026-06-23 17:00:00+00:00,0.00018966,0.00018966,divergence
BTCUSDT-SOLUSDT,2026-06-23 18:00:00+00:00,0.00018966,0.00018966,divergence
ETHUSDT-SOLUSDT,2026-07-14 18:00:00+00:00,6.280000000000001e-06,6.280000000000001e-06,convergence
ETHUSDT-SOLUSDT,2026-07-14 19:00:00+00:00,6.280000000000001e-06,6.280000000000001e-06,convergence
ETHUSDT-SOLUSDT,2026-07-14 20:00:00+00:00,6.280000000000001e-06,6.280000000000001e-06,convergence
ETHUSDT-SOLUSDT,2026-07-14 21:00:00+00:00,6.280000000000001e-06,6.280000000000001e-06,convergence
ETHUSDT-SOLUSDT,2026-07-15 00:00:00+00:00,6.280000000000001e-06,6.280000000000001e-06,convergence
ETHUSDT-SOLUSDT,2026-06-23 23:00:00+00:00,0.00017001,0.00017001,divergence
ETHUSDT-SOLUSDT,2026-06-23 22:00:00+00:00,0.00017001,0.00017001,divergence
ETHUSDT-SOLUSDT,2026-06-23 21:00:00+00:00,0.00017001,0.00017001,divergence
ETHUSDT-SOLUSDT,2026-06-23 20:00:00+00:00,0.00017001,0.00017001,divergence
ETHUSDT-SOLUSDT,2026-06-23 19:00:00+00:00,0.00017001,0.00017001,divergence
