ts,symbol,loid_z,vpvr_dist_pct,hvn_price,funding_rate,side
2024-12-02T02:16:00+00:00,SOLUSDT,3.6445,0.001447,235.0602,0.000375,unknown
2024-12-03T05:22:00+00:00,SOLUSDT,6.5633,0.001779,227.8546,0.000327,unknown
2024-12-03T07:01:00+00:00,SOLUSDT,3.6628,0.00063,228.0738,0.000327,unknown
2024-12-04T02:10:00+00:00,SOLUSDT,6.5709,0.000442,237.575,0.000355,unknown
2024-12-04T16:09:00+00:00,SOLUSDT,4.0242,0.00136,231.7848,0.000362,unknown
2024-12-05T09:07:00+00:00,SOLUSDT,3.1626,0.000245,234.9426,0.00056,unknown
2024-12-05T09:09:00+00:00,SOLUSDT,3.1332,0.001394,234.9426,0.00056,unknown
2024-12-05T14:45:00+00:00,SOLUSDT,3.4797,0.001545,240.752,0.00056,unknown
2024-12-06T06:44:00+00:00,SOLUSDT,3.2919,0.001825,238.6957,0.000323,unknown
2024-12-06T07:04:00+00:00,SOLUSDT,3.8886,0.000814,238.6957,0.000323,unknown
2024-12-06T13:47:00+00:00,SOLUSDT,5.2491,0.00109,233.8551,0.000323,unknown
2024-12-07T02:19:00+00:00,SOLUSDT,4.0364,0.00023,236.1343,0.000416,unknown
2024-12-07T02:31:00+00:00,SOLUSDT,3.5226,0.000327,236.1073,0.000416,unknown
2024-12-07T12:29:00+00:00,SOLUSDT,5.6914,0.001039,238.2725,0.000345,unknown
2024-12-07T12:49:00+00:00,SOLUSDT,4.2416,0.001018,238.2725,0.000345,unknown
2024-12-07T13:29:00+00:00,SOLUSDT,4.9208,0.001334,238.1223,0.000345,unknown
2024-12-07T18:22:00+00:00,SOLUSDT,3.0297,0.000652,241.9423,0.000385,unknown
2024-12-07T18:23:00+00:00,SOLUSDT,4.4125,0.000216,241.9423,0.000385,unknown
2024-12-07T19:13:00+00:00,SOLUSDT,8.5203,0.001548,241.9344,0.000385,unknown
2024-12-07T19:55:00+00:00,SOLUSDT,3.427,0.00015,241.8537,0.000385,unknown
2024-12-08T01:31:00+00:00,SOLUSDT,3.2041,0.000134,238.8321,0.000451,unknown
2024-12-08T04:27:00+00:00,SOLUSDT,17.8334,0.000452,239.7016,0.000451,unknown
