symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_at_entry
SOLUSDT,long,2024-09-19,142.84856399999998,2024-12-19,193.67125800000002,donchian_opposite_break,355.78022331397085,0.35578022331397086,91,7.845235437282355
SOLUSDT,long,2025-01-18,261.95237999999995,2025-02-05,195.990794,atr_trailing<entry-3.0*ATR,-252.70342753889926,-0.25180754608910205,18,16.544265067079337
SOLUSDT,short,2025-02-18,169.243842,2025-04-19,139.74204600000002,donchian_opposite_break,174.49500765890718,0.17431532900322588,60,15.962767586651564
SOLUSDT,long,2025-05-13,183.73674,2025-05-30,156.088776,donchian_opposite_break,-150.89364790236058,-0.15047596904135774,17,9.75742639420505
SOLUSDT,short,2025-06-05,144.238842,2025-07-05,147.47050000000002,time_stop>=30d,-22.433290228075332,-0.02240490810374096,30,9.1048071807093
SOLUSDT,long,2025-07-21,195.78915,2025-08-01,162.577478,atr_trailing<entry-3.0*ATR,-169.80661830720166,-0.1696297879632247,11,9.227482445779778
SOLUSDT,long,2025-08-13,201.620316,2025-09-25,192.56148,donchian_opposite_break,-44.90071758600302,-0.04493017459609583,43,10.677183628927956
SOLUSDT,short,2025-10-10,187.68753,2026-01-05,137.812432,donchian_opposite_break,265.44120823871555,0.2657347454037037,87,17.22841798307316
SOLUSDT,short,2026-01-31,105.47109,2026-03-16,96.120772,donchian_opposite_break,88.79029319600826,0.08865290005062054,44,7.493321541967567
SOLUSDT,short,2026-06-02,74.19483600000001,2026-06-23,69.076182,force_close_eod,69.15753130377053,0.06898935661775718,21,3.588004813561366
