sample_id,kind,detection_ts,price_low,price_high,price_center,volume,score,first_touch_ts,first_touch_close,bars_to_touch,approach_dir,fwd_4h_close,fwd_4h_max_up_pct,fwd_4h_max_dn_pct,fwd_12h_close,fwd_12h_max_up_pct,fwd_12h_max_dn_pct,fwd_12h_net_pct,fwd_24h_close,fwd_24h_max_up_pct,fwd_24h_max_dn_pct,reversal_met,reversal_met_strict
1,HVN,2026-06-16T00:00:00,63335.98000000001,63883.67,63609.825000000004,6113941.59036745,1.0,2026-06-17T20:00:00,64425.5,11,down_to_level,62275.2,0.4613,-3.4544,63457.0,0.4613,-3.4901,-1.5033,63201.6,0.4613,-3.4901,0,0
2,LVN,2026-06-16T00:00:00,64680.31000000001,65277.78999999999,64979.05,518391.8454966341,0.0,2026-06-16T12:00:00,65785.5,3,down_to_level,65446.3,0.5752,-1.0241,62275.2,0.8672,-5.4503,-5.336,64059.8,0.8672,-5.4853,1,0
3,HVN,2026-06-16T08:00:00,64257.095,64281.98999999999,64269.542499999996,217609.5779681385,0.02945539980125889,2026-06-17T16:00:00,64220.9,8,down_to_level,63882.0,0.7814,-0.9668,62934.2,0.7814,-3.1826,-2.0036,64095.6,0.7814,-3.1826,0,0
4,HVN,2026-06-16T12:00:00,66273.59000000001,66323.37999999999,66298.485,450044.4587908522,0.060917536745403074,2026-06-17T16:00:00,64220.9,7,up_to_level,63882.0,0.7814,-0.9668,62934.2,0.7814,-3.1826,-2.0036,64095.6,0.7814,-3.1826,0,0
5,HVN,2026-06-16T16:00:00,65715.182,65917.268,65816.225,1711578.6682801247,0.42510307059984587,2026-06-16T20:00:00,65579.2,1,down_to_level,65665.8,0.7236,-1.6864,62854.7,1.1845,-5.1879,-4.1545,64200.0,1.1845,-5.1879,1,0
6,LVN,2026-06-16T16:00:00,62728.8,62751.254,62740.027,22943.295791223933,1.0,2026-06-18T12:00:00,62275.2,11,down_to_level,62526.8,1.4508,-0.1577,64059.8,3.248,-0.1577,2.8657,64740.3,5.2226,-0.1577,1,1
7,LVN,2026-06-17T08:00:00,62939.5,63324.709,63132.1045,593875.6369632172,1.0,2026-06-18T12:00:00,62275.2,7,down_to_level,62526.8,1.4508,-0.1577,64059.8,3.248,-0.1577,2.8657,64740.3,5.2226,-0.1577,1,1
8,HVN,2026-06-17T12:00:00,65468.65,65488.105,65478.3775,158471.3834395688,0.03567465630912416,2026-06-17T16:00:00,64220.9,1,down_to_level,63882.0,0.7814,-0.9668,62934.2,0.7814,-3.1826,-2.0036,64095.6,0.7814,-3.1826,0,0
9,LVN,2026-06-17T16:00:00,63620.424999999996,63659.335,63639.88,104572.11703659224,1.0,2026-06-18T04:00:00,64412.7,3,down_to_level,62854.7,0.2282,-3.4709,63560.1,0.2282,-3.4709,-1.3237,64099.4,0.4771,-3.4709,1,1
10,HVN,2026-06-19T08:00:00,62630.833999999995,62681.26,62656.047,461995.2145947502,0.08510126308033754,2026-06-19T12:00:00,63124.2,1,down_to_level,63560.1,1.1135,-0.5543,64113.5,2.1257,-0.5543,1.5672,62375.6,3.8074,-2.0748,1,0
11,LVN,2026-06-19T20:00:00,64446.170000000006,64471.38300000001,64458.77650000001,70843.91037574243,1.0,2026-06-21T04:00:00,64086.5,8,up_to_level,63201.6,0.4385,-1.4448,62777.5,2.2487,-2.5272,-2.0426,61793.5,2.2487,-7.96,1,0
12,HVN,2026-06-21T12:00:00,62323.265,62344.16,62333.7125,193125.77482529753,0.04932080577094536,2026-06-23T08:00:00,62406.3,11,down_to_level,62623.0,0.993,-0.8731,61156.0,1.1717,-5.482,-2.0035,60243.4,1.1717,-7.1373,1,0
13,LVN,2026-06-24T12:00:00,60147.3,61788.29150000001,60967.795750000005,2132445.960438266,1.0,2026-06-24T16:00:00,59844.0,1,down_to_level,61156.0,3.3272,-0.1791,59645.9,3.3272,-3.1612,-0.331,59370.2,3.3272,-3.1612,1,0
14,LVN,2026-06-24T16:00:00,61733.008,61798.432,61765.72,85017.59120367865,1.0,2026-06-25T04:00:00,61793.5,3,up_to_level,59667.7,0.0189,-6.2163,60424.9,0.0189,-6.2163,-2.2148,59905.6,0.0189,-6.2163,1,1
15,LVN,2026-06-24T16:00:00,60588.087999999996,60718.935999999994,60653.511999999995,170035.1824073573,0.8461538461538461,2026-06-24T20:00:00,60955.0,1,down_to_level,59439.3,1.4439,-4.9263,59984.9,1.4439,-4.9263,-1.5915,59458.6,1.4439,-4.9263,1,0
16,LVN,2026-06-25T04:00:00,58985.2,59214.183999999994,59099.691999999995,542661.960053112,0.6231284322368431,2026-06-25T12:00:00,59439.3,2,down_to_level,60420.4,2.0273,-2.0534,60715.1,2.3101,-2.0534,2.1464,59709.0,2.3101,-2.0534,1,0
17,LVN,2026-06-25T04:00:00,59246.896,59704.863999999994,59475.88,1085323.920106224,0.1244085889866311,2026-06-25T12:00:00,59439.3,2,down_to_level,60420.4,2.0273,-2.0534,60715.1,2.3101,-2.0534,2.1464,59709.0,2.3101,-2.0534,1,0
18,HVN,2026-06-25T08:00:00,60947.92,61013.344,60980.632,491519.0091124764,0.09777585508122744,2026-06-25T12:00:00,59439.3,1,up_to_level,60420.4,2.0273,-2.0534,60715.1,2.3101,-2.0534,2.1464,59709.0,2.3101,-2.0534,1,1
19,LVN,2026-06-25T12:00:00,57952.2,58974.879,58463.5395,1763752.7557614918,0.0,2026-06-26T00:00:00,59920.3,3,down_to_level,59645.9,1.2083,-2.5572,60094.0,1.4888,-2.5572,0.2899,59907.1,1.4888,-2.5572,1,0
20,HVN,2026-06-25T16:00:00,60527.835999999996,60565.713,60546.7745,295364.38476598996,0.09123526741310116,2026-06-26T04:00:00,60420.4,3,up_to_level,59984.9,0.0876,-3.3638,60112.1,0.6488,-3.3638,-0.5103,59907.1,0.6488,-3.3638,0,0
